Date,item_nbr,daily_units,avg_temp
1/1/2012,5,1711,45.09302326
1/2/2012,5,2047,39.25581395
1/3/2012,5,1794,37.02325581
1/4/2012,5,1319,40.6744186
1/5/2012,5,1687,46.46511628
1/6/2012,5,1443,48.75609756
1/7/2012,5,1697,47.37209302
1/8/2012,5,2028,44.11627907
1/9/2012,5,1113,44.18604651
1/10/2012,5,1801,46.39534884
1/11/2012,5,1246,47.47368421
1/12/2012,5,1229,35.60465116
1/13/2012,5,1220,37.74418605
1/14/2012,5,1679,38.8372093
1/15/2012,5,1766,41.02325581
1/16/2012,5,1467,49.62790698
1/17/2012,5,1044,43.30232558
1/18/2012,5,1057,38.73684211
1/19/2012,5,1156,40.79069767
1/20/2012,5,968,40.79069767
1/21/2012,5,1340,38.93023256
1/22/2012,5,1506,48.86046512
1/23/2012,5,1150,47.72093023
1/24/2012,5,835,49.39534884
1/25/2012,5,921,48.30232558
1/26/2012,5,910,49.34883721
1/27/2012,5,900,47.09302326
1/28/2012,5,1137,41.60465116
1/29/2012,5,1174,43.02325581
1/30/2012,5,774,47.11627907
1/31/2012,5,903,51.37209302
2/1/2012,5,1292,52.60465116
2/2/2012,5,1363,50.55813953
2/3/2012,5,1236,50.44186047
2/4/2012,5,1461,44.95348837
2/5/2012,5,1867,42.27906977
2/6/2012,5,1139,42.76744186
2/7/2012,5,1140,42.97674419
2/8/2012,5,941,39.48837209
2/9/2012,5,1107,42.11627907
2/10/2012,5,1270,40.62790698
2/11/2012,5,1917,30.25581395
2/12/2012,5,2302,28.1627907
2/13/2012,5,1215,35.09302326
2/14/2012,5,619,42.62790698
2/15/2012,5,881,49.27906977
2/16/2012,5,713,48.44186047
2/17/2012,5,877,47.8372093
2/18/2012,5,1087,45.65116279
2/19/2012,5,1322,47.74418605
2/20/2012,5,1080,45.53488372
2/21/2012,5,851,46.58139535
2/22/2012,5,868,54.44186047
2/23/2012,5,706,55.53488372
2/24/2012,5,986,45.90697674
2/25/2012,5,1159,44.37209302
2/26/2012,5,1287,46.46511628
2/27/2012,5,1007,51.69767442
2/28/2012,5,890,54.76744186
2/29/2012,5,708,53.48837209
3/1/2012,5,1372,54.3255814
3/2/2012,5,1085,50.79069767
3/3/2012,5,1149,48.3255814
3/4/2012,5,1664,48.09756098
3/5/2012,5,1418,51.04651163
3/6/2012,5,981,56.48837209
